Airfoil [-],AoA [deg],Re [-],C_l [-],C_d [-],C_m [-]
DTU10_AF_000,0105.0,0.0,00.0032,00.5961,00.0015
DTU10_AF_000,0110.0,0.0,00.0041,00.5965,00.0015
DTU10_AF_000,0115.0,0.0,00.0049,00.5970,00.0014
DTU10_AF_000,0120.0,0.0,00.0055,00.5976,00.0014
DTU10_AF_000,0125.0,0.0,00.0060,00.5983,00.0013
DTU10_AF_000,0130.0,0.0,00.0063,00.5990,00.0012
DTU10_AF_000,0135.0,0.0,00.0063,00.5997,00.0011
DTU10_AF_000,0140.0,0.0,00.0063,00.6004,00.0010
DTU10_AF_000,0145.0,0.0,00.0060,00.6011,00.0009
DTU10_AF_000,0150.0,0.0,00.0055,00.6017,00.0008
DTU10_AF_000,0155.0,0.0,00.0049,00.6023,00.0007
DTU10_AF_000,0160.0,0.0,00.0041,00.6028,00.0005
DTU10_AF_000,0165.0,0.0,00.0032,00.6033,00.0004
DTU10_AF_000,0170.0,0.0,00.0022,00.6036,00.0003
DTU10_AF_000,0175.0,0.0,00.0011,00.6037,00.0001
DTU10_AF_000,0180.0,0.0,00.0000,00.6038,00.0000
DTU10_AF_001,-180.0,0.0,00.0000,00.5893,00.0000
DTU10_AF_001,-175.0,0.0,00.0031,00.5895,00.0004
DTU10_AF_001,-170.0,0.0,00.0061,00.5900,00.0008
DTU10_AF_001,-165.0,0.0,00.0089,00.5908,00.0012
DTU10_AF_001,-160.0,0.0,00.0115,00.5920,00.0015
DTU10_AF_001,-155.0,0.0,00.0137,00.5934,00.0019
DTU10_AF_001,-150.0,0.0,00.0155,00.5951,00.0022
DTU10_AF_001,-145.0,0.0,00.0168,00.5969,00.0026
DTU10_AF_001,-140.0,0.0,00.0176,00.5989,00.0029
DTU10_AF_001,-135.0,0.0,00.0179,00.6009,00.0032
DTU10_AF_001,-130.0,0.0,00.0176,00.6029,00.0034
DTU10_AF_001,-125.0,0.0,00.0168,00.6049,00.0037
DTU10_AF_001,-120.0,0.0,00.0155,00.6067,00.0039
DTU10_AF_001,-115.0,0.0,00.0137,00.6084,00.0040
DTU10_AF_001,-110.0,0.0,00.0115,00.6098,00.0042
DTU10_AF_001,-105.0,0.0,00.0089,00.6109,00.0043
DTU10_AF_001,-100.0,0.0,00.0061,00.6118,00.0044
DTU10_AF_001,-095.0,0.0,00.0031,00.6123,00.0044
DTU10_AF_001,-090.0,0.0,00.0000,00.6125,00.0045
DTU10_AF_001,-085.0,0.0,-0.0031,00.6123,00.0044
DTU10_AF_001,-080.0,0.0,-0.0061,00.6118,00.0044
DTU10_AF_001,-075.0,0.0,-0.0089,00.6109,00.0043
DTU10_AF_001,-070.0,0.0,-0.0115,00.6098,00.0042
DTU10_AF_001,-065.0,0.0,-0.0137,00.6084,00.0040
DTU10_AF_001,-060.0,0.0,-0.0155,00.6067,00.0039
DTU10_AF_001,-055.0,0.0,-0.0168,00.6049,00.0035
DTU10_AF_001,-050.0,0.0,-0.0176,00.6029,00.0032
DTU10_AF_001,-045.0,0.0,-0.0179,00.6009,00.0027
DTU10_AF_001,-040.0,0.0,-0.0170,00.5987,00.0021
DTU10_AF_001,-039.0,0.0,-0.0161,00.5983,00.0019
DTU10_AF_001,-038.0,0.0,-0.0148,00.5976,00.0016
DTU10_AF_001,-037.0,0.0,-0.0128,00.5970,00.0014
DTU10_AF_001,-036.0,0.0,-0.0111,00.5964,00.0012
DTU10_AF_001,-035.0,0.0,-0.0093,00.5958,00.0011
DTU10_AF_001,-034.0,0.0,-0.0080,00.5951,00.0009
DTU10_AF_001,-033.0,0.0,-0.0062,00.5947,00.0008
DTU10_AF_001,-032.0,0.0,-0.0046,00.5942,00.0008
DTU10_AF_001,-030.0,0.0,-0.0028,00.5934,00.0011
DTU10_AF_001,-028.0,0.0,-0.0014,00.5929,00.0013
DTU10_AF_001,-026.0,0.0,00.0002,00.5926,00.0016
DTU10_AF_001,-024.0,0.0,00.0018,00.5923,00.0018
DTU10_AF_001,-022.0,0.0,00.0035,00.5920,00.0020
DTU10_AF_001,-020.0,0.0,00.0052,00.5917,00.0022
DTU10_AF_001,-018.0,0.0,00.0070,00.5915,00.0024
DTU10_AF_001,-016.0,0.0,00.0088,00.5913,00.0026
DTU10_AF_001,-014.0,0.0,00.0107,00.5911,00.0028
DTU10_AF_001,-012.0,0.0,00.0126,00.5909,00.0030
DTU10_AF_001,-010.0,0.0,00.0141,00.5908,00.0030
DTU10_AF_001,-008.0,0.0,00.0155,00.5907,00.0030
DTU10_AF_001,-006.0,0.0,00.0149,00.5906,-0.0026
DTU10_AF_001,-004.0,0.0,00.0146,00.5906,-0.0022
DTU10_AF_001,-002.0,0.0,00.0118,00.5906,-0.0016
DTU10_AF_001,0000.0,0.0,00.0093,00.5907,-0.0009
DTU10_AF_001,0002.0,0.0,00.0047,00.5907,-0.0000
DTU10_AF_001,0004.0,0.0,-0.0016,00.5905,00.0012
DTU10_AF_001,0006.0,0.0,00.0030,00.5906,00.0004
DTU10_AF_001,0008.0,0.0,00.0080,00.5908,-0.0005
DTU10_AF_001,0010.0,0.0,00.0126,00.5911,-0.0012
DTU10_AF_001,0012.0,0.0,00.0170,00.5913,-0.0018
DTU10_AF_001,0014.0,0.0,00.0212,00.5914,-0.0024
DTU10_AF_001,0016.0,0.0,00.0253,00.5917,-0.0030
DTU10_AF_001,0018.0,0.0,00.0293,00.5920,-0.0036
DTU10_AF_001,0020.0,0.0,00.0325,00.5923,-0.0040
DTU10_AF_001,0022.0,0.0,00.0354,00.5930,-0.0045
DTU10_AF_001,0024.0,0.0,00.0375,00.5948,-0.0049
DTU10_AF_001,0026.0,0.0,00.0391,00.5970,-0.0053
DTU10_AF_001,0028.0,0.0,00.0403,00.5991,-0.0057
DTU10_AF_001,0030.0,0.0,00.0406,00.6013,-0.0060
DTU10_AF_001,0032.0,0.0,00.0406,00.6031,-0.0062
DTU10_AF_001,0033.0,0.0,00.0407,00.6039,-0.0062
DTU10_AF_001,0034.0,0.0,00.0405,00.6046,-0.0062
DTU10_AF_001,0035.0,0.0,00.0400,00.6051,-0.0062
DTU10_AF_001,0036.0,0.0,00.0399,00.6056,-0.0061
DTU10_AF_001,0037.0,0.0,00.0395,00.6061,-0.0060
DTU10_AF_001,0038.0,0.0,00.0390,00.6066,-0.0059
DTU10_AF_001,0039.0,0.0,00.0382,00.6071,-0.0058
DTU10_AF_001,0040.0,0.0,00.0374,00.6076,-0.0057
DTU10_AF_001,0045.0,0.0,00.0328,00.6097,-0.0054
DTU10_AF_001,0050.0,0.0,00.0271,00.6100,-0.0052
DTU10_AF_001,0055.0,0.0,00.0214,00.6101,-0.0050
DTU10_AF_001,0060.0,0.0,00.0173,00.6103,-0.0049
DTU10_AF_001,0065.0,0.0,00.0137,00.6103,-0.0047
DTU10_AF_001,0070.0,0.0,00.0115,00.6107,-0.0046
DTU10_AF_001,0075.0,0.0,00.0089,00.6109,-0.0045
DTU10_AF_001,0080.0,0.0,00.0061,00.6118,-0.0044
DTU10_AF_001,0085.0,0.0,00.0031,00.6123,-0.0044
DTU10_AF_001,0090.0,0.0,00.0000,00.6125,-0.0045
DTU10_AF_001,0095.0,0.0,-0.0031,00.6123,-0.0044
DTU10_AF_001,0100.0,0.0,-0.0061,00.6118,-0.0044
DTU10_AF_001,0105.0,0.0,-0.0089,00.6109,-0.0043
DTU10_AF_001,0110.0,0.0,-0.0115,00.6098,-0.0042
DTU10_AF_001,0115.0,0.0,-0.0137,00.6084,-0.0040
DTU10_AF_001,0120.0,0.0,-0.0155,00.6067,-0.0039
DTU10_AF_001,0125.0,0.0,-0.0168,00.6049,-0.0037
DTU10_AF_001,0130.0,0.0,-0.0176,00.6029,-0.0034
DTU10_AF_001,0135.0,0.0,-0.0179,00.6009,-0.0032
DTU10_AF_001,0140.0,0.0,-0.0176,00.5989,-0.0029
DTU10_AF_001,0145.0,0.0,-0.0168,00.5969,-0.0026
DTU10_AF_001,0150.0,0.0,-0.0155,00.5951,-0.0022
DTU10_AF_001,0155.0,0.0,-0.0137,00.5934,-0.0019
DTU10_AF_001,0160.0,0.0,-0.0115,00.5920,-0.0015
DTU10_AF_001,0165.0,0.0,-0.0089,00.5908,-0.0012
DTU10_AF_001,0170.0,0.0,-0.0061,00.5900,-0.0008
DTU10_AF_001,0175.0,0.0,-0.0031,00.5895,-0.0004
DTU10_AF_001,0180.0,0.0,00.0000,00.5893,00.0000
DTU10_AF_002,-180.0,0.0,00.0000,00.5386,00.0000
DTU10_AF_002,-175.0,0.0,00.0178,00.5396,00.0022
DTU10_AF_002,-170.0,0.0,00.0350,00.5426,00.0044
DTU10_AF_002,-165.0,0.0,00.0512,00.5475,00.0066
DTU10_AF_002,-160.0,0.0,00.0658,00.5542,00.0088
DTU10_AF_002,-155.0,0.0,00.0784,00.5624,00.0108
DTU10_AF_002,-150.0,0.0,00.0886,00.5719,00.0128
DTU10_AF_002,-145.0,0.0,00.0962,00.5824,00.0147
DTU10_AF_002,-140.0,0.0,00.1008,00.5936,00.0164
DTU10_AF_002,-135.0,0.0,00.1023,00.6051,00.0181
DTU10_AF_002,-130.0,0.0,00.1008,00.6167,00.0196
DTU10_AF_002,-125.0,0.0,00.0962,00.6279,00.0210
DTU10_AF_002,-120.0,0.0,00.0886,00.6384,00.0222
DTU10_AF_002,-115.0,0.0,00.0784,00.6479,00.0232
DTU10_AF_002,-110.0,0.0,00.0658,00.6561,00.0240
DTU10_AF_002,-105.0,0.0,00.0512,00.6627,00.0247
DTU10_AF_002,-100.0,0.0,00.0350,00.6676,00.0252
DTU10_AF_002,-095.0,0.0,00.0178,00.6706,00.0255
DTU10_AF_002,-090.0,0.0,00.0000,00.6716,00.0256
DTU10_AF_002,-085.0,0.0,-0.0178,00.6706,00.0255
DTU10_AF_002,-080.0,0.0,-0.0350,00.6676,00.0252
